COD	Poz_TS
-----------------
262	-1
263	0
265	-1
264	-1
283	-1
284	-1
285	-1
275	-1
281	-1
261	1
289	-1
265	-1
258	2
289	-1
265	-1
258	3
289	-1
265	-1
258	4
289	-1
275	-1
281	-1
261	5
289	-1
274	-1
282	-1
258	2
289	-1
275	-1
281	-1
261	6
289	-1
274	-1
282	-1
258	3
289	-1
272	-1
283	-1
258	3
292	-1
259	7
284	-1
285	-1
258	4
280	-1
258	2
301	-1
258	3
289	-1
258	2
280	-1
258	3
289	-1
258	3
280	-1
258	4
289	-1
286	-1
275	-1
281	-1
261	8
289	-1
275	-1
281	-1
258	2
289	-1
265	-1
258	9
287	-1
288	-1
289	-1
276	-1
259	7
289	-1
286	-1
