2026-02-02 23:41:49 | S1: 7 locuri (balance=700.00) | S2: 18 locuri (balance=3600.00) | S3: 10 locuri (balance=1500.00) | Total balance=5800.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:41:54 | S1: 16 locuri (balance=1600.00) | S2: 29 locuri (balance=5800.00) | S3: 25 locuri (balance=3750.00) | Total balance=11150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:41:59 | S1: 24 locuri (balance=2400.00) | S2: 35 locuri (balance=7000.00) | S3: 34 locuri (balance=5100.00) | Total balance=14500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:42:04 | S1: 29 locuri (balance=2900.00) | S2: 41 locuri (balance=8200.00) | S3: 37 locuri (balance=5550.00) | Total balance=16650.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:42:09 | S1: 37 locuri (balance=3700.00) | S2: 41 locuri (balance=8200.00) | S3: 41 locuri (balance=6150.00) | Total balance=18050.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:03 | S1: 45 locuri (balance=4500.00) | S2: 41 locuri (balance=8200.00) | S3: 50 locuri (balance=7500.00) | Total balance=20200.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:08 | S1: 54 locuri (balance=5400.00) | S2: 44 locuri (balance=8800.00) | S3: 53 locuri (balance=7950.00) | Total balance=22150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:13 | S1: 54 locuri (balance=5400.00) | S2: 45 locuri (balance=9000.00) | S3: 54 locuri (balance=8100.00) | Total balance=22500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:18 | S1: 55 locuri (balance=5500.00) | S2: 52 locuri (balance=10400.00) | S3: 54 locuri (balance=8100.00) | Total balance=24000.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:23 | S1: 57 locuri (balance=5700.00) | S2: 52 locuri (balance=10400.00) | S3: 54 locuri (balance=8100.00) | Total balance=24200.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:42 | S1: 61 locuri (balance=6100.00) | S2: 52 locuri (balance=10400.00) | S3: 63 locuri (balance=9450.00) | Total balance=25950.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:47 | S1: 61 locuri (balance=6100.00) | S2: 53 locuri (balance=10600.00) | S3: 64 locuri (balance=9600.00) | Total balance=26300.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:52 | S1: 61 locuri (balance=6100.00) | S2: 54 locuri (balance=10800.00) | S3: 64 locuri (balance=9600.00) | Total balance=26500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:43:57 | S1: 62 locuri (balance=6200.00) | S2: 55 locuri (balance=11000.00) | S3: 65 locuri (balance=9750.00) | Total balance=26950.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:44:02 | S1: 62 locuri (balance=6200.00) | S2: 55 locuri (balance=11000.00) | S3: 65 locuri (balance=9750.00) | Total balance=26950.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:44:07 | S1: 62 locuri (balance=6200.00) | S2: 56 locuri (balance=11200.00) | S3: 67 locuri (balance=10050.00) | Total balance=27450.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:44:12 | S1: 63 locuri (balance=6300.00) | S2: 58 locuri (balance=11600.00) | S3: 70 locuri (balance=10500.00) | Total balance=28400.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:44:17 | S1: 63 locuri (balance=6300.00) | S2: 58 locuri (balance=11600.00) | S3: 75 locuri (balance=11250.00) | Total balance=29150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:50:56 | S1: 67 locuri (balance=6700.00) | S2: 59 locuri (balance=11800.00) | S3: 76 locuri (balance=11400.00) | Total balance=29900.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:01 | S1: 69 locuri (balance=6900.00) | S2: 61 locuri (balance=12200.00) | S3: 76 locuri (balance=11400.00) | Total balance=30500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:06 | S1: 72 locuri (balance=7200.00) | S2: 62 locuri (balance=12400.00) | S3: 76 locuri (balance=11400.00) | Total balance=31000.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:11 | S1: 72 locuri (balance=7200.00) | S2: 62 locuri (balance=12400.00) | S3: 76 locuri (balance=11400.00) | Total balance=31000.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:16 | S1: 72 locuri (balance=7200.00) | S2: 62 locuri (balance=12400.00) | S3: 77 locuri (balance=11550.00) | Total balance=31150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:21 | S1: 72 locuri (balance=7200.00) | S2: 63 locuri (balance=12600.00) | S3: 77 locuri (balance=11550.00) | Total balance=31350.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:26 | S1: 72 locuri (balance=7200.00) | S2: 64 locuri (balance=12800.00) | S3: 77 locuri (balance=11550.00) | Total balance=31550.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:31 | S1: 72 locuri (balance=7200.00) | S2: 66 locuri (balance=13200.00) | S3: 80 locuri (balance=12000.00) | Total balance=32400.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:36 | S1: 76 locuri (balance=7600.00) | S2: 67 locuri (balance=13400.00) | S3: 81 locuri (balance=12150.00) | Total balance=33150.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:41 | S1: 77 locuri (balance=7700.00) | S2: 67 locuri (balance=13400.00) | S3: 81 locuri (balance=12150.00) | Total balance=33250.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:46 | S1: 78 locuri (balance=7800.00) | S2: 67 locuri (balance=13400.00) | S3: 82 locuri (balance=12300.00) | Total balance=33500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:51 | S1: 78 locuri (balance=7800.00) | S2: 68 locuri (balance=13600.00) | S3: 82 locuri (balance=12300.00) | Total balance=33700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:51:56 | S1: 79 locuri (balance=7900.00) | S2: 69 locuri (balance=13800.00) | S3: 82 locuri (balance=12300.00) | Total balance=34000.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:01 | S1: 79 locuri (balance=7900.00) | S2: 69 locuri (balance=13800.00) | S3: 82 locuri (balance=12300.00) | Total balance=34000.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:06 | S1: 80 locuri (balance=8000.00) | S2: 69 locuri (balance=13800.00) | S3: 82 locuri (balance=12300.00) | Total balance=34100.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:11 | S1: 80 locuri (balance=8000.00) | S2: 72 locuri (balance=14400.00) | S3: 83 locuri (balance=12450.00) | Total balance=34850.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:16 | S1: 80 locuri (balance=8000.00) | S2: 73 locuri (balance=14600.00) | S3: 86 locuri (balance=12900.00) | Total balance=35500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:21 | S1: 80 locuri (balance=8000.00) | S2: 78 locuri (balance=15600.00) | S3: 86 locuri (balance=12900.00) | Total balance=36500.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:26 | S1: 80 locuri (balance=8000.00) | S2: 79 locuri (balance=15800.00) | S3: 86 locuri (balance=12900.00) | Total balance=36700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:31 | S1: 80 locuri (balance=8000.00) | S2: 79 locuri (balance=15800.00) | S3: 86 locuri (balance=12900.00) | Total balance=36700.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
2026-02-02 23:52:36 | S1: 80 locuri (balance=8000.00) | S2: 80 locuri (balance=16000.00) | S3: 87 locuri (balance=13050.00) | Total balance=37050.00 | Status: CORECT | [seats=OK, balance=OK, sales=OK]
