COD     Poz_TS
-----------------
4       -
5       -
11      -
6       -
7       -
8       -
9       -
14      -
0       0
37      -
0       1
37      1
0       2
36      -
21      -
22      -
3       3
36      -
20      -
23      -
0       0
36      -
21      -
22      -
3       4
36      -
20      -
23      -
0       1
18      -
7       -
0       1
35      -
0       5
8       -
9       -
0       2
24      -
0       0
29      -
0       1
36      -
0       0
24      -
0       1
36      -
0       1
24      -
0       2
36      -
10      -
21      -
22      -
0       6
22      -
0       0
36      -
38      -
0       5
36      -
10      -
